gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
349,194704200CHS,NBA,1,1947,4/20/1947,69,1,PHW,Warriors,73,1446.0986,1442.9448,55.359722,CHS,Stags,74,1409.4009,1412.5547,A,L,0.4098956,
350,194704220GSW,NBA,0,1947,4/22/1947,70,1,PHW,Warriors,83,1442.9448,1446.1919,55.657673,CHS,Stags,80,1412.5547,1409.3076,H,W,0.67930639,
352,194711130BLB,NBA,1,1948,11/13/1947,1,0,BOS,Celtics,74,1289.9966,1285.9733,29.691414,BLB,Baltimore,85,1414.4618,1418.4851,A,L,0.21549326,
355,194711130GSW,NBA,0,1948,11/13/1947,1,0,PHW,Warriors,79,1460.8939,1465.7465,48.173626,PRO,Steamrollers,64,1333.8054,1328.9529,H,W,0.7870487,
356,194711140BOS,NBA,1,1948,11/14/1947,2,0,PHW,Warriors,79,1465.7465,1470.8689,48.693275,BOS,Celtics,74,1285.9733,1280.8508,A,W,0.61282706,
356,194711140BOS,NBA,0,1948,11/14/1947,2,0,BOS,Celtics,74,1285.9733,1280.8508,29.196787,PHW,Warriors,79,1465.7465,1470.8689,H,L,0.38717291,
357,194711150BOS,NBA,0,1948,11/15/1947,3,0,BOS,Celtics,73,1280.8508,1289.3925,30.023579,WSC,Capitols,69,1470.8373,1462.2957,H,W,0.37331918,
360,194711150PRO,NBA,1,1948,11/15/1947,3,0,PHW,Warriors,80,1470.8689,1474.9827,49.108761,PRO,Steamrollers,78,1328.9529,1324.8391,A,W,0.56003106,
361,194711180BOS,NBA,0,1948,11/18/1947,4,0,BOS,Celtics,50,1289.3925,1275.6677,28.700087,STB,Bombers,65,1384.1389,1397.8636,H,L,0.5075599,
364,194711190WSC,NBA,1,1948,11/19/1947,4,0,PHW,Warriors,67,1474.9827,1469.0547,48.509514,WSC,Capitols,74,1462.2957,1468.2236,A,L,0.3769266,
367,194711200GSW,NBA,1,1948,11/20/1947,5,0,BOS,Celtics,67,1275.6677,1298.5594,30.921711,PHW,Warriors,57,1469.0547,1446.163,A,W,0.15592438,
367,194711200GSW,NBA,0,1948,11/20/1947,5,0,PHW,Warriors,57,1469.0547,1446.163,46.166374,BOS,Celtics,67,1275.6677,1298.5594,H,L,0.84407562,
369,194711210BOS,NBA,0,1948,11/21/1947,6,0,BOS,Celtics,73,1298.5594,1286.2784,29.720997,BLB,Baltimore,89,1434.0065,1446.2875,H,L,0.44916388,
371,194711220BOS,NBA,0,1948,11/22/1947,7,0,BOS,Celtics,65,1286.2784,1290.2985,30.111858,PRO,Steamrollers,62,1303.6595,1299.6395,H,W,0.61670661,
372,194711220NYK,NBA,1,1948,11/22/1947,6,0,PHW,Warriors,83,1446.163,1453.8931,46.962265,NYK,Knicks,78,1372.4034,1364.6733,A,W,0.46230853,
374,194711250BOS,NBA,0,1948,11/25/1947,8,0,BOS,Celtics,75,1290.2985,1274.8889,28.62579,NYK,Knicks,91,1364.6733,1380.0829,H,L,0.53681082,
375,194711260NYK,NBA,1,1948,11/26/1947,9,0,BOS,Celtics,65,1274.8889,1283.7355,29.47488,NYK,Knicks,63,1380.0829,1371.2363,A,W,0.23483807,
377,194711270GSW,NBA,0,1948,11/27/1947,7,0,PHW,Warriors,59,1453.8931,1423.4999,43.812302,NYK,Knicks,81,1371.2363,1401.6295,H,L,0.74105453,
